sample_id,rec_no,subject_pos,start_time,end_time,Settle,Legs crossed,Groom,Hand-mouth,Fold arms,Leg movement,Scratch,Gesture,Hand-face,Adjusting clothing,Fumble,Shrug,Stretching,Smearing hands
16190,15,1,638733.3333,640866.6667,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27563,20,4,350733.3333,352866.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27160,20,3,660066.6667,662200,0,1,0,0,0,1,0,0,0,1,0,0,0,0
623,7,3,163000,165133.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27613,20,4,457400,459533.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18779,16,2,316600,318733.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23376,18,3,771000,773133.3333,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22029,17,4,235533.3333,237666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,7,4,271800,273933.3333,0,1,0,0,0,0,1,0,0,0,0,1,0,0
36344,25,2,378466.6667,380600,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14800,14,3,11533.33333,13666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23819,18,4,547000,549133.3333,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33774,24,1,741133.3333,743266.6667,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13281,13,4,278200,280333.3333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31500,22,4,566200,568333.3333,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9078,11,2,664333.3333,666466.6667,0,1,0,0,0,1,0,0,0,0,1,0,0,0
16480,15,2,88333.33333,90466.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,7,3,1050466.667,1052600,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36310,25,2,305933.3333,308066.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27277,20,3,909666.6667,911800,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24166,19,2,118200,120333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9205,11,2,935266.6667,937400,0,1,0,0,0,0,0,0,0,1,0,0,0,0
34726,24,3,433933.3333,436066.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11309,12,3,747533.3333,749666.6667,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23331,18,3,675000,677133.3333,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355,7,2,760333.3333,762466.6667,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12898,13,3,630200,632333.3333,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36307,25,2,299533.3333,301666.6667,1,0,0,0,0,0,0,1,0,0,0,0,0,0
598,7,3,109666.6667,111800,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19569,16,3,832866.6667,835000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588,7,4,1052600,1054733.333,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12294,13,2,510733.3333,512866.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22356,17,4,933133.3333,935266.6667,0,1,0,0,1,1,0,0,0,0,0,0,0,0
9045,11,2,593933.3333,596066.6667,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16223,15,1,709133.3333,711266.6667,0,1,0,0,0,0,0,0,0,0,1,0,0,0
975,7,3,913933.3333,916066.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10934,12,2,1116600,1118733.333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9198,11,2,920333.3333,922466.6667,0,1,0,0,0,0,0,1,0,1,0,0,0,0
26723,20,2,896866.6667,899000,1,0,0,0,0,0,0,0,1,0,0,0,0,0
32020,23,2,506466.6667,508600,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30326,22,2,399800,401933.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25175,19,3,1101666.667,1103800,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16294,15,1,860600,862733.3333,0,1,0,1,0,0,1,0,1,0,0,0,0,0
12047,12,4,1152866.667,1155000,0,1,0,0,0,0,0,0,0,1,0,0,0,1
14274,14,2,58466.66667,60600,0,0,0,0,1,1,0,0,0,0,0,0,1,0
37694,25,4,920333.3333,922466.6667,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26533,20,2,491533.3333,493666.6667,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36409,25,2,517133.3333,519266.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10628,12,2,463800,465933.3333,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25308,19,4,216333.3333,218466.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34443,24,2,999266.6667,1001400,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14472,14,2,480866.6667,483000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14880,14,3,182200,184333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18009,15,4,1012066.667,1014200,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23456,18,3,941666.6667,943800,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25908,20,1,327266.6667,329400,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22055,17,4,291000,293133.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30906,22,3,468066.6667,470200,0,1,0,0,0,1,0,1,0,0,0,0,0,0
27070,20,3,468066.6667,470200,0,1,0,0,0,0,1,0,1,0,0,0,0,0
25119,19,3,982200,984333.3333,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20619,17,1,734733.3333,736866.6667,0,1,1,0,0,0,1,0,0,0,0,0,0,0
19498,16,3,681400,683533.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36885,25,3,363533.3333,365666.6667,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33143,23,4,564066.6667,566200,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34881,24,3,764600,766733.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14528,14,2,600333.3333,602466.6667,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20653,17,1,807266.6667,809400,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11496,12,3,1146466.667,1148600,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1202,7,4,229133.3333,231266.6667,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37007,25,3,623800,625933.3333,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12707,13,3,222733.3333,224866.6667,0,0,1,0,0,0,0,1,0,1,0,0,0,0
26508,20,2,438200,440333.3333,0,0,0,1,0,0,0,0,1,0,0,0,0,0
323,7,2,692066.6667,694200,0,1,0,0,1,0,0,0,0,0,0,1,0,0
655,7,3,231266.6667,233400,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17959,15,4,905400,907533.3333,0,1,0,0,0,0,0,1,0,0,0,0,0,1
26012,20,1,549133.3333,551266.6667,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9848,11,3,1137933.333,1140066.667,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30314,22,2,374200,376333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25218,19,4,24333.33333,26466.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11668,12,4,344333.3333,346466.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20580,17,1,651533.3333,653666.6667,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18143,16,1,128866.6667,131000,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9089,11,2,687800,689933.3333,0,1,0,1,0,1,0,0,0,0,0,0,0,0
25898,20,1,305933.3333,308066.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,7,3,596066.6667,598200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23189,18,3,372066.6667,374200,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17683,15,4,316600,318733.3333,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26406,20,2,220600,222733.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36161,25,1,1157133.333,1159266.667,0,1,0,0,0,1,0,1,0,0,0,0,0,0
33820,24,1,839266.6667,841400,0,1,0,0,0,0,1,0,1,0,0,0,0,0
541,7,2,1157133.333,1159266.667,0,1,0,0,1,0,1,0,0,0,1,0,0,0
19241,16,3,133133.3333,135266.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15420,14,4,165133.3333,167266.6667,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27614,20,4,459533.3333,461666.6667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16057,15,1,355000,357133.3333,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29868,22,1,591800,593933.3333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22125,17,4,440333.3333,442466.6667,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25146,19,3,1039800,1041933.333,0,1,0,0,0,0,0,0,0,1,0,0,0,1
73,7,2,158733.3333,160866.6667,1,1,0,0,0,0,0,1,0,1,0,0,0,0
35511,24,4,939533.3333,941666.6667,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34539,24,3,35000,37133.33333,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28154,21,2,442466.6667,444600,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12674,13,3,152333.3333,154466.6667,0,0,0,0,0,0,1,1,0,0,0,0,0,1
15633,14,4,619533.3333,621666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15312,14,3,1103800,1105933.333,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34985,24,3,986466.6667,988600,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36844,25,3,276066.6667,278200,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20488,17,1,455266.6667,457400,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23327,18,3,666466.6667,668600,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26767,20,2,990733.3333,992866.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20657,17,1,815800,817933.3333,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31742,22,4,1082466.667,1084600,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16318,15,1,911800,913933.3333,0,1,0,0,0,0,0,0,1,1,0,0,0,0
27816,20,4,890466.6667,892600,1,0,0,0,0,0,0,1,1,0,0,0,0,0
34805,24,3,602466.6667,604600,0,1,0,0,0,0,1,1,0,0,0,0,0,1
23576,18,4,28600,30733.33333,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30146,22,2,15800,17933.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20908,17,2,182200,184333.3333,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26529,20,2,483000,485133.3333,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14616,14,2,788066.6667,790200,0,0,0,1,1,1,0,0,0,0,0,0,0,0
11714,12,4,442466.6667,444600,0,1,0,0,0,1,0,0,0,0,0,0,0,0
22009,17,4,192866.6667,195000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30703,22,3,35000,37133.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,7,2,837133.3333,839266.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24624,19,2,1095266.667,1097400,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31471,22,4,504333.3333,506466.6667,0,1,0,0,0,0,1,0,0,0,1,0,0,0
34183,24,2,444600,446733.3333,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17563,15,4,60600,62733.33333,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36316,25,2,318733.3333,320866.6667,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27424,20,4,54200,56333.33333,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18832,16,2,429666.6667,431800,0,0,0,0,0,1,0,1,0,0,0,1,0,0
23377,18,3,773133.3333,775266.6667,0,1,0,1,0,0,0,0,0,0,0,0,0,0
536,7,2,1146466.667,1148600,0,1,0,0,1,0,1,0,0,0,0,0,0,0
36761,25,3,99000,101133.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16353,15,1,986466.6667,988600,0,1,1,1,0,0,0,0,0,0,0,0,0,0
26352,20,2,105400,107533.3333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34352,24,2,805133.3333,807266.6667,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19933,16,4,440333.3333,442466.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
634,7,3,186466.6667,188600,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36343,25,2,376333.3333,378466.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25715,19,4,1084600,1086733.333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15438,14,4,203533.3333,205666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27578,20,4,382733.3333,384866.6667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30499,22,2,768866.6667,771000,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12774,13,3,365666.6667,367800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070,16,4,732600,734733.3333,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36723,25,3,17933.33333,20066.66667,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21718,17,3,741133.3333,743266.6667,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30745,22,3,124600,126733.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16254,15,1,775266.6667,777400,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8771,11,2,9400,11533.33333,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14067,14,1,785933.3333,788066.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,7,3,81933.33333,84066.66667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36164,25,1,1163533.333,1165666.667,0,1,0,0,0,1,0,1,0,0,0,0,0,0
16296,15,1,864866.6667,867000,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22990,18,2,1116600,1118733.333,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17794,15,4,553400,555533.3333,0,1,0,0,0,0,1,0,1,0,0,0,0,0
23232,18,3,463800,465933.3333,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17465,15,3,1020600,1022733.333,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20068,16,4,728333.3333,730466.6667,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34517,24,2,1157133.333,1159266.667,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14909,14,3,244066.6667,246200,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16803,15,2,777400,779533.3333,1,0,0,0,0,0,0,0,0,0,1,0,0,0
33248,23,4,788066.6667,790200,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16716,15,2,591800,593933.3333,0,0,0,0,0,0,1,1,0,0,0,0,0,0
36319,25,2,325133.3333,327266.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32191,23,2,871266.6667,873400,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15483,14,4,299533.3333,301666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27482,20,4,177933.3333,180066.6667,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30361,22,2,474466.6667,476600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36886,25,3,365666.6667,367800,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23245,18,3,491533.3333,493666.6667,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20085,16,4,764600,766733.3333,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35447,24,4,803000,805133.3333,0,1,0,0,0,0,0,1,0,0,0,1,0,0
22178,17,4,553400,555533.3333,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28507,21,3,26466.66667,28600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29241,21,4,423266.6667,425400,0,1,1,0,0,0,1,0,0,0,0,0,0,0
30515,22,2,803000,805133.3333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36910,25,3,416866.6667,419000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17041,15,3,116066.6667,118200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9627,11,3,666466.6667,668600,0,0,0,0,0,0,0,0,0,0,1,0,0,0
796,7,3,532066.6667,534200,0,0,0,0,0,0,1,0,0,0,0,0,1,1
21954,17,4,75533.33333,77666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29655,22,1,137400,139533.3333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34672,24,3,318733.3333,320866.6667,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10616,12,2,438200,440333.3333,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10914,12,2,1073933.333,1076066.667,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37421,25,4,337933.3333,340066.6667,0,1,0,0,0,0,0,1,0,0,0,1,0,0
18672,16,2,88333.33333,90466.66667,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19847,16,4,256866.6667,259000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36306,25,2,297400,299533.3333,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33426,23,4,1167800,1169933.333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31998,23,2,459533.3333,461666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32560,23,3,489400,491533.3333,0,1,0,0,0,1,0,0,0,0,0,0,0,0
16249,15,1,764600,766733.3333,0,1,1,1,0,0,0,0,0,0,0,0,0,0
22407,17,4,1041933.333,1044066.667,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32375,23,3,94733.33333,96866.66667,0,1,0,0,0,0,0,0,0,0,1,0,0,0
206,7,2,442466.6667,444600,1,1,0,0,0,0,0,0,0,1,0,0,0,0
32594,23,3,561933.3333,564066.6667,0,1,1,0,0,1,0,0,0,0,0,0,0,0
12230,13,2,374200,376333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16072,15,1,387000,389133.3333,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1479,7,4,820066.6667,822200,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20695,17,1,896866.6667,899000,0,1,0,0,0,0,1,0,0,0,0,1,0,0
24242,19,2,280333.3333,282466.6667,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16390,15,1,1065400,1067533.333,0,1,0,0,0,0,0,1,0,1,0,0,0,0
935,7,3,828600,830733.3333,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17864,15,4,702733.3333,704866.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1140,7,4,96866.66667,99000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
26478,20,2,374200,376333.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
821,7,3,585400,587533.3333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35077,24,4,13666.66667,15800,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24885,19,3,483000,485133.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28869,21,3,798733.3333,800866.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16468,15,2,62733.33333,64866.66667,0,0,0,0,0,0,1,0,0,0,0,0,0,1
74,7,2,160866.6667,163000,1,1,0,0,1,0,0,1,0,1,0,0,0,0
1072,7,3,1120866.667,1123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30311,22,2,367800,369933.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37210,25,3,1056866.667,1059000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
555,7,3,17933.33333,20066.66667,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16239,15,1,743266.6667,745400,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13438,13,4,613133.3333,615266.6667,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34417,24,2,943800,945933.3333,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22085,17,4,355000,357133.3333,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11712,12,4,438200,440333.3333,0,1,0,1,0,1,0,0,0,0,0,0,0,1
36801,25,3,184333.3333,186466.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27049,20,3,423266.6667,425400,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9751,11,3,931000,933133.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19617,16,3,935266.6667,937400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24513,19,2,858466.6667,860600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34677,24,3,329400,331533.3333,0,1,0,0,0,0,0,1,0,0,0,0,0,1
30119,22,1,1127266.667,1129400,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29753,22,1,346466.6667,348600,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24779,19,3,256866.6667,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16262,15,1,792333.3333,794466.6667,0,1,1,0,0,0,0,0,0,0,0,0,0,0
32488,23,3,335800,337933.3333,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16558,15,2,254733.3333,256866.6667,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35030,24,3,1082466.667,1084600,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14654,14,2,869133.3333,871266.6667,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17514,15,3,1125133.333,1127266.667,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12360,13,2,651533.3333,653666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35854,25,1,502200,504333.3333,0,1,0,0,0,0,0,1,0,0,1,0,0,0
10880,12,2,1001400,1003533.333,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28565,21,3,150200,152333.3333,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28960,21,3,992866.6667,995000,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27072,20,3,472333.3333,474466.6667,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26621,20,2,679266.6667,681400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32435,23,3,222733.3333,224866.6667,0,1,0,0,0,1,0,0,0,0,0,0,0,0
16252,15,1,771000,773133.3333,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1433,7,4,721933.3333,724066.6667,0,1,0,1,0,0,0,0,0,0,0,0,0,0
32145,23,2,773133.3333,775266.6667,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12245,13,2,406200,408333.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16623,15,2,393400,395533.3333,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9033,11,2,568333.3333,570466.6667,0,1,0,0,0,0,0,1,0,0,1,0,0,0
35000,24,3,1018466.667,1020600,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31861,23,2,167266.6667,169400,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34166,24,2,408333.3333,410466.6667,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36305,25,2,295266.6667,297400,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21195,17,2,794466.6667,796600,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36071,25,1,965133.3333,967266.6667,0,1,0,0,0,0,0,1,0,0,1,0,0,0
33068,23,4,404066.6667,406200,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16314,15,1,903266.6667,905400,0,1,0,0,0,0,0,1,1,0,0,0,0,0
1565,7,4,1003533.333,1005666.667,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21123,17,2,640866.6667,643000,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36320,25,2,327266.6667,329400,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24622,19,2,1091000,1093133.333,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37071,25,3,760333.3333,762466.6667,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15469,14,4,269666.6667,271800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26403,20,2,214200,216333.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27071,20,3,470200,472333.3333,0,1,0,0,0,0,1,0,1,0,0,1,0,0
34893,24,3,790200,792333.3333,0,0,0,0,0,0,0,0,1,0,1,0,0,0
36086,25,1,997133.3333,999266.6667,0,1,0,0,0,1,0,1,0,0,1,0,0,0
20918,17,2,203533.3333,205666.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
